"esquema";"cp";"entidad";"2022";"2021";"2020";"2019";"2018";"2017";"2016";"2015"
"1064";"14064";"Valsequillo";"347";"346";"348";"356";"368";"367";"373";"379"
"1065";"14065";"La Victoria";"2316";"2336";"2289";"2271";"2284";"2327";"2353";"2375"
"1066";"14066";"Villa del Río";"6993";"7016";"7067";"7104";"7200";"7251";"7301";"7403"
"1067";"14067";"Villafranca de Córdoba";"4872";"4897";"4860";"4871";"4861";"4886";"4918";"4889"
"1068";"14068";"Villaharta";"632";"640";"621";"619";"643";"662";"669";"703"
"1069";"14069";"Villanueva de Córdoba";"8587";"8662";"8671";"8729";"8774";"8886";"9005";"9141"
"1070";"14070";"Villanueva del Duque";"1431";"1451";"1448";"1461";"1494";"1504";"1520";"1553"
"1071";"14071";"Villanueva del Rey";"1007";"997";"1015";"1046";"1068";"1081";"1088";"1096"
"1072";"14072";"Villaralto";"1111";"1102";"1118";"1131";"1154";"1171";"1196";"1238"
"1073";"14073";"Villaviciosa de Córdoba";"3160";"3191";"3200";"3229";"3298";"3347";"3374";"3443"
"1074";"14074";"El Viso";"2528";"2537";"2517";"2536";"2568";"2586";"2636";"2651"
"1075";"14075";"Zuheros";"631";"634";"635";"641";"641";"644";"657";"688"
